geneid	name	WT1	WT2	WT3	KO1	KO2	KO3
ENSG00000000003	TSPAN6	64	55	37	62	45	50
ENSG00000000005	TNMD	0	0	0	0	0	0
ENSG00000000419	DPM1	8370	5420	6154	7823	5283	5849
ENSG00000000457	SCYL3	970	811	567	950	669	545
ENSG00000000460	C1orf112	1689	1113	981	2065	1082	1264
ENSG00000000938	FGR	44	25	10	24	5	1
ENSG00000000971	CFH	205	27	32	20	5	7
ENSG00000001036	FUCA2	1735	688	661	1543	491	414
ENSG00000001084	GCLC	3526	5007	3802	4207	4583	3514
ENSG00000001167	NFYA	4730	5398	3725	4556	5408	4173
ENSG00000001460	STPG1	360	368	265	422	348	302
ENSG00000001461	NIPAL3	2260	2509	1851	2527	2283	1884
ENSG00000001497	LAS1L	6007	9238	5271	5469	10413	7290
ENSG00000001561	ENPP4	1507	795	1240	1427	734	1045
ENSG00000001617	SEMA3F	1	3	0	5	8	3
ENSG00000001626	CFTR	0	0	0	0	0	0
ENSG00000001629	ANKIB1	1855	3210	1515	2182	3073	1567
ENSG00000001630	CYP51A1	7933	2837	3119	8635	3484	3192
ENSG00000001631	KRIT1	1200	2225	1115	1491	1872	1183
ENSG00000002016	RAD52	159	207	76	196	211	93
ENSG00000002079	MYH16	0	0	0	0	1	0
ENSG00000002330	BAD	1905	1854	1785	1322	1900	1979
ENSG00000002549	LAP3	22969	14296	15085	19888	14524	16968
ENSG00000002586	CD99	16856	27742	22743	14489	21501	18203
ENSG00000002587	HS3ST1	16	13	6	19	4	1
ENSG00000002726	AOC1	8	0	0	3	0	0
ENSG00000002745	WNT16	58	25	0	28	9	2
ENSG00000002746	HECW1	0	0	0	0	0	2
ENSG00000002822	MAD1L1	753	1989	776	738	2396	1248
ENSG00000002834	LASP1	10527	21095	11236	11746	22994	13958
ENSG00000002919	SNX11	4362	4239	3703	3724	3887	3795
ENSG00000002933	TMEM176A	1	0	5	6	2	3
ENSG00000003056	M6PR	11037	7346	7685	10150	7153	8069
ENSG00000003096	KLHL13	66	53	26	97	134	87
ENSG00000003137	CYP26B1	4	0	4	1	0	2
ENSG00000003147	ICA1	156	24	26	145	33	56
ENSG00000003249	DBNDD1	27	32	17	8	49	11
ENSG00000003393	ALS2	1617	1664	1210	1427	1567	1328
ENSG00000003400	CASP10	904	764	409	1215	1004	532
ENSG00000003402	CFLAR	39344	56308	41971	30152	37386	27284
ENSG00000003436	TFPI	5	1	8	45	16	12
ENSG00000003509	NDUFAF7	877	1106	716	821	977	570
ENSG00000003756	RBM5	2502	7437	2398	2770	6499	2745
ENSG00000003987	MTMR7	0	0	2	0	1	2
ENSG00000003989	SLC7A2	5	4	0	0	2	0
ENSG00000004059	ARF5	12018	8963	9746	9462	9168	9353
ENSG00000004139	SARM1	1154	2913	1247	1041	2420	1262
ENSG00000004142	POLDIP2	15498	15945	12886	12785	18109	16509
ENSG00000004399	PLXND1	32	137	55	28	128	102
ENSG00000004455	AK2	19857	17803	16815	17128	18649	17445
