label	strain
WT1	WT
WT2	WT
WT3	WT
WT4	WT
WT5	WT
WT6	WT
WT7	WT
WT8	WT
WT9	WT
WT10	WT
WT11	WT
WT12	WT
WT13	WT
WT14	WT
WT15	WT
WT16	WT
WT17	WT
WT18	WT
WT19	WT
WT20	WT
WT21	WT
WT22	WT
WT23	WT
WT24	WT
WT25	WT
WT26	WT
WT27	WT
WT28	WT
WT29	WT
WT30	WT
WT31	WT
WT32	WT
WT33	WT
WT34	WT
WT35	WT
WT36	WT
WT37	WT
WT38	WT
WT39	WT
WT40	WT
WT41	WT
WT42	WT
WT43	WT
WT44	WT
WT45	WT
WT46	WT
WT47	WT
WT48	WT
Snf1	Snf
Snf2	Snf
Snf3	Snf
Snf4	Snf
Snf5	Snf
Snf6	Snf
Snf7	Snf
Snf8	Snf
Snf9	Snf
Snf10	Snf
Snf11	Snf
Snf12	Snf
Snf13	Snf
Snf14	Snf
Snf15	Snf
Snf16	Snf
Snf17	Snf
Snf18	Snf
Snf19	Snf
Snf20	Snf
Snf21	Snf
Snf22	Snf
Snf23	Snf
Snf24	Snf
Snf25	Snf
Snf26	Snf
Snf27	Snf
Snf28	Snf
Snf29	Snf
Snf30	Snf
Snf31	Snf
Snf32	Snf
Snf33	Snf
Snf34	Snf
Snf35	Snf
Snf36	Snf
Snf37	Snf
Snf38	Snf
Snf39	Snf
Snf40	Snf
Snf41	Snf
Snf42	Snf
Snf43	Snf
Snf44	Snf
Snf45	Snf
Snf46	Snf
Snf47	Snf
Snf48	Snf
